mapping,camera_id,runA_prev,runA_frame,runB_before,runB_after,increment,status,tier,confidence,runA_too_dark,runB_span_too_dark,dark,max_cross_camera_disagreement_within_10,cross_camera_disagreement_over_6
bayes_posterior,cam5,2614,2615,2602,2611,9,accepted_posterior,,0.519333,False,False,False,10.0,True
submitted_unified,cam5,327,328,240,252,12,accepted_strong,uncalibrated_strong,1.00,False,False,False,9.0,True
submitted_unified,cam5,460,461,366,372,6,accepted_strong,uncalibrated_strong,1.00,False,True,True,6.0,False
submitted_unified,cam5,525,526,420,428,8,accepted_strong,uncalibrated_strong,1.00,False,True,True,13.0,True
submitted_unified,cam5,543,544,434,442,8,accepted_strong,uncalibrated_strong,1.00,False,True,True,17.0,True
submitted_unified,cam5,559,560,445,456,11,accepted_strong,uncalibrated_strong,1.00,False,True,True,22.0,True
submitted_unified,cam5,560,561,456,465,9,accepted_strong,uncalibrated_strong,1.00,False,True,True,22.0,True
submitted_unified,cam5,563,564,466,474,8,accepted_sequence_supported,uncalibrated_sequence_supported,0.67,False,True,True,22.0,True
submitted_unified,cam5,1247,1248,1149,1158,9,accepted_strong,uncalibrated_strong,1.00,False,False,False,6.0,False
submitted_unified,cam5,1513,1514,1419,1426,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,4.0,False
submitted_unified,cam5,1553,1554,1452,1462,10,accepted_strong,uncalibrated_strong,1.00,False,False,False,16.0,True
submitted_unified,cam5,1630,1631,1548,1554,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,10.0,True
submitted_unified,cam5,1650,1651,1568,1575,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,13.0,True
submitted_unified,cam5,1677,1678,1609,1615,6,accepted_sequence_supported,uncalibrated_sequence_supported,0.67,False,False,False,14.0,True
submitted_unified,cam5,1684,1685,1624,1634,10,accepted_sequence_supported,uncalibrated_sequence_supported,0.67,False,False,False,15.0,True
submitted_unified,cam5,1691,1692,1635,1642,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,15.0,True
submitted_unified,cam5,1951,1952,1902,1908,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,9.0,True
submitted_unified,cam5,2096,2097,2055,2061,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,5.0,False
submitted_unified,cam5,2217,2218,2183,2190,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,4.0,False
submitted_unified,cam5,2288,2289,2257,2263,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,5.0,False
submitted_unified,cam5,2290,2291,2263,2269,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,5.0,False
submitted_unified,cam5,2432,2433,2414,2433,19,accepted_sequence_supported,uncalibrated_sequence_supported,0.67,False,False,False,23.0,True
